"Country","Year","GDP","GDP_growth_rate","Inflation","Population","Unemployment_rate","Exports","Imports","Trade(% of GDP)","Government_Expenditure","Tax_revenue","Current_account_balance","Foreign_Direct_Investment","Broad_Money_supply","Domestic_credit_of_private_sector","Exchange_rate","Gross_capital_formation"
"Rwanda",2001,2970476182.30558,8.4845603416011,3.34285506749409,8287094,11.732,7.26898430311878,21.9299251345738,29.1989094376925,16.3369036268068,NA,NA,0.940709512317624,13.6638227776705,9.07881915008174,442.991891666667,12.7844289211049
"Rwanda",2002,3362343587.30108,13.1920736254262,1.99258542453993,8400180,11.432,6.18067969706938,21.4287584191479,27.6094381162173,17.1316749782856,NA,NA,0.0762969152415173,14.6344590405009,9.42435180688602,475.365241666667,12.6161021461481
"Rwanda",2003,3436395422.55803,2.20238751139603,7.44970014007366,8586875,11.658,7.77665392566841,21.5339703097417,29.3106242354101,17.0162928992052,NA,NA,0.219807223769547,13.983088097597,8.92957351693816,537.65498475,13.1689898461308
"Rwanda",2004,3692326723.15976,7.44766737034072,12.2507102894391,8816844,11.699,10.3935220427215,23.0681510603655,33.4616731030871,16.5492639094328,NA,NA,0.324006427230548,13.7813518200786,9.8312525515906,577.448974583333,14.3572006203523
"Rwanda",2005,4038589400.18749,9.3778991673686,9.01408918092339,9054528,11.842,10.6879847934518,23.5285535484134,34.2165383418652,16.4061377334558,NA,NA,0.271318643761601,13.7624375262056,10.3108984751212,557.82264075,15.1471395794747
"Rwanda",2006,4411233104.10076,9.22707576798881,8.88282654777923,9299246,11.586,10.8834165953429,22.338020477063,33.2214370724059,16.084956920138,NA,NA,0.923071050017332,15.5353523799413,11.7688790747319,551.710333333334,15.0250898905664
"Rwanda",2007,4747955680.84802,7.63329819125276,9.08072205873158,9549933,11.58,13.6678238827712,22.3031493144566,35.9709731972278,14.1635864690929,NA,NA,2.02144725253631,17.0505411887058,12.0334423138205,546.955,16.7899322992344
"Rwanda",2008,5277886757.25615,11.1612473247323,15.4382138709255,9804269,11.517,11.2727549070714,26.3317559477341,37.6045108548055,12.2842606930329,NA,NA,1.97476605952382,15.6995263439751,13.3642833875073,546.848653166667,21.3446999189279
"Rwanda",2009,5607662712.73541,6.24825750620508,12.9443978401712,10060432,11.625,10.367482812293,26.4381451961885,36.8056280084816,12.7548643089095,NA,NA,2.0912940636988,14.3347317746841,11.1602839395087,568.281326833334,21.0151940236714
"Rwanda",2010,6018965507.59309,7.33465645006753,-0.246128693436934,10317553,11.637,10.7427647311274,26.5361143612077,37.2788790923351,13.0834898136764,NA,-6.51687014325837,3.52981463633808,15.5542868759791,11.4913039096026,583.130906583333,20.5325011611394
"Rwanda",2011,6497978178.31424,7.95838869847094,3.0801706924026,10573733,11.756,12.6588705752209,27.0572319022891,39.71610247751,12.0235602281128,NA,-6.92834416704242,1.62859755954292,17.3342732712618,13.266031975479,600.30651975,20.9013969880418
"Rwanda",2012,7059501492.72193,8.64150815836322,10.2710182318876,10829901,11.671,11.9942781520571,28.5465848466622,40.5408629987193,12.9526437680734,NA,-9.68045842086916,3.52219420805752,17.2458905705942,15.751520287001,614.295142416667,23.3041445547138
"Rwanda",2013,7392699272.95995,4.71984856978263,5.92426867984854,11093340,11.768,13.4925358045666,29.2009566249696,42.6934924295362,12.8653723978061,NA,-7.48220331305966,2.98932057367113,17.9823176390729,16.2164793656958,646.6359745,24.4311537415127
"Rwanda",2014,7848619320.21664,6.16716615166932,2.35449052820358,11364757,11.837,13.8686615802081,30.0340721108669,43.902733691075,14.2814464949749,12.9476292724141,-11.3438929928213,3.81112336248267,18.9488961574076,17.6303961518493,682.4377953875,23.2290320311828
"Rwanda",2015,8543760199.80208,8.8568555974538,2.52850284192421,11640022,11.831,13.2317868359616,31.9701887799487,45.2019756159103,13.8497879923213,13.2938948825463,-12.6837769389105,1.89710171173713,20.8162554781801,20.9997079033272,719.8595555,24.240978094561
"Rwanda",2016,9053886356.47148,5.97074525431094,7.17434301982009,11919183,11.788,15.4218031562888,34.0631039507003,49.4849071069892,15.0678995077858,14.416149504273,-15.305126232999,3.21723490346275,20.288049168884,20.4751724214641,787.25152175,25.8958453602119
"Rwanda",2017,9408633100.29498,3.91817093628465,8.27953672260832,12202060,11.875,20.5283808772972,33.1468865404281,53.6752674177253,15.0074832365581,13.4513713883394,-9.46048176908828,2.96153582649288,19.7081417149906,20.5944112008927,831.55433975,23.8350248025789
"Rwanda",2018,10209916254.6891,8.51646722592409,-0.311210160390699,12487996,10.759,21.10801098862,34.6761153853403,55.7841263739603,14.7476601788797,14.2497109145248,-10.1142510894979,3.79950138241727,21.7307882385639,21.3998848838406,861.093412166667,22.3221933243073
"Rwanda",2019,11174486370.4509,9.44738518613097,3.34787655037648,12776103,11.236,21.8254435390056,36.1502193247898,57.9756628637954,15.8165587890012,14.6053573051595,-11.8932238048423,2.54289979218123,21.3544486905459,21.4605470851456,899.350509,27.0287152007204
"Rwanda",2020,10797494124.6384,-3.37368746369782,9.85039902274207,13065837,11.829,19.3259418342726,35.8620097177129,55.1879515519855,16.383453875618,15.0744687983707,-12.0648128308305,1.49998346928248,25.1477472790838,25.0510689076078,943.278048166667,23.7346563348968
"Rwanda",2021,11969932683.8627,10.8584320184896,-0.391346748300791,13355260,15.775,19.502494693488,34.7913371528487,54.2938318463367,16.9437619532634,14.4637097844237,-10.9152624610396,2.10659286861252,26.0617481878019,25.3431515385739,988.624806551768,26.7349156072212
"Rwanda",2022,12946823692.9381,8.16120720872912,17.6892095588153,13651030,15.084,22.4780615146911,38.667017988674,61.1450795033651,17.0328176794153,13.6800512047892,-9.36601780213995,2.29121488787355,25.5730826285685,22.8466317008821,1030.30829974206,25.7418263768417
"Rwanda",2023,14014924091.7947,8.24990302014558,19.789546746467,13954471,12.352,25.0057307202908,39.9011734217134,64.9069041420041,16.2989613675996,13.5080695479594,-11.4935434871962,3.19322395833009,26.3281033455287,22.3546156935488,1160.09869425,23.5855215423605
"Rwanda",2024,15260942682.7546,8.89065529573114,1.77029240198635,14256567,11.331,30.8220804418076,39.1323331262486,69.9544135680561,17.079487182635,NA,-12.6832284185648,4.02009319742237,27.6741530972272,22.6097052141568,1318.12835733333,25.914149825303
 
